id,lat,lon
54727,36.65,117.5
54857,36.07,120.33
54662,38.9,121.63
54511,39.93,116.28
58027,34.28,117.15
58150,33.75,120.3
58238,31.93,118.9
57083,34.72,113.65
57178,33.1,112.48
53772,37.62,106.2
50527,49.25,119.7
52267,41.95,101.07
52983,35.87,104.15
53068,43.63,111.95
53463,40.85,111.57
53513,40.73,107.37
54102,43.95,116.12
54135,43.6,122.27
54218,42.3,118.83
54161,43.9,125.22
54292,42.87,129.5
54374,41.8,126.88
50557,49.17,125.23
50774,47.72,128.83
50953,45.93,126.57
58362,31.42,121.45
58457,30.23,120.17
58633,28.97,118.87
58665,28.62,121.42
58203,32.87,115.73
58424,30.62,116.97
58725,27.33,117.47
58847,26.08,119.28
59134,24.48,118.08
57993,25.87,115.0
58606,28.6,115.92
57447,30.28,109.47
57461,30.73,111.37
59362,39.93,116.28
57494,30.6,114.05
57972,25.74,112.97
57749,27.57,110.0
59280,23.72,113.08
59316,23.35,116.67
57957,25.33,110.3
59211,23.9,106.6
59265,23.48,111.3
59431,22.78,108.55
59758,20.0,110.25
59981,16.83,112.33
57516,29.6,106.4
56146,31.62,100.0
56187,30.75,103.87
56571,27.9,102.27
56691,26.87,104.28
57816,26.48,106.65
56739,24.98,98.51
56778,25.02,102.68
56985,23.44,103.33
56964,22.77,100.98
55299,31.48,92.07
55591,29.67,91.13
56137,31.15,97.17
53845,36.57,109.45
57127,33.07,107.03
57131,34.43,108.97
52323,41.8,97.03
52418,40.15,94.68
52533,39.77,98.48
52681,38.63,103.08
53915,35.53,106.67
56080,35.0,102.9
52818,36.42,94.9
52836,36.3,98.1
52866,36.65,101.72
53614,38.47,106.2
56029,33.0,96.95
51076,47.73,88.08
51431,43.95,81.33
51463,43.78,87.62
51644,41.72,82.95
51777,39.03,88.17
51709,39.48,75.75
51828,37.13,79.93
51839,37.07,82.72
52203,42.82,93.52
45004,22.312,114.173
